total,mask
164.8147266300075,179.00716708865468
156.15990215108468,154.6561235500177
159.01023805903247,153.70101431592775
177.26503082248382,154.02338759563776
168.47874504068747,166.61722653557405
155.99035248147624,155.6154605582724
153.7066048874003,128.99705485133762
165.96545605886786,162.17847463013305
160.0375585790899,158.67647641473462
161.39121212792813,171.80366782777662
181.49968895985515,168.5103773500526
157.0936055357379,121.95462450413494
155.91979173192527,157.05737739309617
168.59534833137877,158.65849523883273
143.65630640363452,158.14860970909166
155.00115835660836,156.20687555000904
163.25821591319982,157.70075858530402
164.23082916496787,157.16599779904809
137.86326228256803,154.61753937764453
152.929469880386,151.38279816984337
158.09932306215714,154.4078689370102
165.19516347363242,144.93606056865355
158.48203071285388,159.99023360618756
163.98222625026392,153.98469594450492
154.56764157005819,152.93106839855272
152.29637386227114,113.73270825892675
160.73709207997308,152.2565878091
164.44774226905443,147.14013487680026
145.03212928544966,143.18832547180693
169.3087588236485,151.33326111693626
171.45888676491447,157.0222629319202
182.9904318126355,162.05417208557705
169.2652676909929,150.31844081560862
147.67839342981472,149.84968397647603
151.58263747012825,158.82068405922044
163.32755932834698,149.60345502074793
165.68420173594495,150.80135196095992
159.47413789862185,149.39474594072698
168.18458473152714,150.63007294574945
161.03642515253156,154.09169991401964
162.51738067224505,152.45405547813056
158.21630744478892,154.25034847360104
146.3485804615193,125.78091556599945
154.08723589588772,156.7246608579676
144.52139657101725,118.91757042305801
144.73755388663267,115.26025626427001
149.1551244377697,123.11449463737108
155.6151138651476,122.3981923873624
159.85495415022888,115.07499391187274
155.3332320290501,148.0474117959453
151.3181106025877,115.87879522581
152.86263169138692,130.27467357973973
154.81069411996577,130.44838766732227
150.98429781481536,134.82198089204894
161.50680605019443,130.9277895574553
154.29671201888414,121.78444255419856
147.1037156222701,125.71252081073165
145.97644967539236,118.86564410157612
153.22575032743043,153.5216075246697
143.71099531283835,125.50375690883604
150.12370533216745,117.1797780114352
146.95261004427448,121.68035932829564
130.74286030617077,116.85407121072627
148.45941835804842,119.26067890238045
169.99585029878654,158.982355325252
